r;inserts(s)
1;0,000187
2;0,000188
3;0,000189
4;0,000191
5;0,000188
6;0,000188
7;0,000189
8;0,000190
9;0,000191
10;0,000187
11;0,000185
12;0,000188
13;0,000190
14;0,000188
15;0,000189
16;0,000188
17;0,000190
18;0,000189
19;0,000183
20;0,000185
21;0,000188
22;0,000187
23;0,000187
24;0,000187
25;0,000188
26;0,000186
27;0,000186
28;0,000187
29;0,000188
30;0,000188
31;0,000189
32;0,000186
33;0,000186
34;0,000188
35;0,000188
36;0,000189
37;0,000187
38;0,000186
39;0,000187
40;0,000187
41;0,000189
42;0,000188
43;0,000187
44;0,000186
45;0,000186
46;0,000186
47;0,000188
48;0,000188
49;0,000188
50;0,000187
51;0,000188
52;0,000188
53;0,000190
54;0,000188
55;0,000188
56;0,000187
57;0,000186
58;0,000187
59;0,000186
60;0,000187
61;0,000187
62;0,000186
63;0,000188
64;0,000186
65;0,000188
66;0,000187
67;0,000187
68;0,000186
69;0,000187
70;0,000187
71;0,000189
72;0,000188
73;0,000187
74;0,000187
75;0,000186
76;0,000188
77;0,000187
78;0,000187
79;0,000188
80;0,000188
81;0,000187
82;0,000188
83;0,000187
84;0,000188
85;0,000188
86;0,000188
87;0,000188
88;0,000186
89;0,000187
90;0,000187
91;0,000188
92;0,000188
93;0,000187
94;0,000204
95;0,000186
96;0,000187
97;0,000187
98;0,000189
99;0,000186
100;0,000186
r;updates(s)
1;0,000217
2;0,000220
3;0,000220
4;0,000218
5;0,000217
6;0,000218
7;0,000220
8;0,000218
9;0,000218
10;0,000218
11;0,000219
12;0,000218
13;0,000218
14;0,000222
15;0,000217
16;0,000219
17;0,000219
18;0,000217
19;0,000218
20;0,000219
21;0,000219
22;0,000218
23;0,000218
24;0,000220
25;0,000219
26;0,000217
27;0,000217
28;0,000219
29;0,000219
30;0,000220
31;0,000217
32;0,000217
33;0,000218
34;0,000219
35;0,000218
36;0,000217
37;0,000218
38;0,000218
39;0,000219
40;0,000217
41;0,000217
42;0,000218
43;0,000219
44;0,000219
45;0,000222
46;0,000217
47;0,000217
48;0,000219
49;0,000218
50;0,000218
51;0,000217
52;0,000218
53;0,000218
54;0,000219
55;0,000218
56;0,000218
57;0,000218
58;0,000219
59;0,000218
60;0,000217
61;0,000217
62;0,000216
63;0,000217
64;0,000217
65;0,000219
66;0,000218
67;0,000219
68;0,000217
69;0,000217
70;0,000218
71;0,000218
72;0,000218
73;0,000217
74;0,000217
75;0,000218
76;0,000218
77;0,000219
78;0,000217
79;0,000217
80;0,000218
81;0,000218
82;0,000219
83;0,000217
84;0,000218
85;0,000219
86;0,000219
87;0,000218
88;0,000217
89;0,000217
90;0,000217
91;0,000220
92;0,000218
93;0,000217
94;0,000218
95;0,000218
96;0,000219
97;0,000218
98;0,000217
99;0,000217
100;0,000220
r;selects(s)
1;0,000131
2;0,000130
3;0,000130
4;0,000130
5;0,000130
6;0,000130
7;0,000130
8;0,000131
9;0,000129
10;0,000130
11;0,000130
12;0,000129
13;0,000130
14;0,000129
15;0,000129
16;0,000130
17;0,000129
18;0,000129
19;0,000129
20;0,000129
21;0,000129
22;0,000129
23;0,000129
24;0,000132
25;0,000130
26;0,000129
27;0,000128
28;0,000129
29;0,000129
30;0,000129
31;0,000128
32;0,000128
33;0,000130
34;0,000128
35;0,000128
36;0,000129
37;0,000129
38;0,000129
39;0,000129
40;0,000131
41;0,000129
42;0,000129
43;0,000128
44;0,000129
45;0,000129
46;0,000131
47;0,000129
48;0,000130
49;0,000130
50;0,000130
51;0,000129
52;0,000128
53;0,000130
54;0,000129
55;0,000128
56;0,000128
57;0,000129
58;0,000129
59;0,000129
60;0,000129
61;0,000131
62;0,000129
63;0,000129
64;0,000129
65;0,000129
66;0,000129
67;0,000131
68;0,000130
69;0,000130
70;0,000130
71;0,000129
72;0,000129
73;0,000131
74;0,000131
75;0,000130
76;0,000129
77;0,000129
78;0,000129
79;0,000129
80;0,000132
81;0,000128
82;0,000126
83;0,000126
84;0,000127
85;0,000128
86;0,000128
87;0,000129
88;0,000127
89;0,000127
90;0,000130
91;0,000129
92;0,000127
93;0,000128
94;0,000133
95;0,000129
96;0,000129
97;0,000129
98;0,000131
99;0,000129
100;0,000129
