r;inserts(s)
1;3.3333333333333E-14
1;4.6666666666667E-14
1;5.6666666666667E-14
1;6.3333333333333E-14
1;7.3333333333333E-14
1;8.0E-14
1;9.0E-14
1;9.6666666666667E-14
1;1.0333333333333E-13
1;1.1E-13
1;1.2E-13
1;1.2666666666667E-13
1;1.3666666666667E-13
1;1.4333333333333E-13
1;1.5E-13
1;1.6E-13
1;1.6666666666667E-13
1;1.7333333333333E-13
1;1.8E-13
1;1.9E-13
1;1.9666666666667E-13
1;2.0333333333333E-13
1;2.1E-13
1;2.1666666666667E-13
1;2.2666666666667E-13
1;2.3333333333333E-13
1;2.4E-13
1;2.5E-13
1;2.5666666666667E-13
1;2.6333333333333E-13
2;2.7E-13
2;2.8E-13
2;2.8666666666667E-13
2;2.9333333333333E-13
2;3.0E-13
2;3.0666666666667E-13
2;3.1666666666667E-13
2;3.2333333333333E-13
2;3.3E-13
2;3.3666666666667E-13
2;3.4666666666667E-13
2;3.5333333333333E-13
2;3.6E-13
2;3.6666666666667E-13
2;3.7333333333333E-13
2;3.8333333333333E-13
2;3.9E-13
2;3.9666666666667E-13
2;4.0333333333333E-13
2;4.1333333333333E-13
2;4.2E-13
2;4.2666666666667E-13
2;4.3333333333333E-13
2;4.4333333333333E-13
2;4.5E-13
2;4.5666666666667E-13
2;4.6666666666667E-13
2;4.7666666666667E-13
2;4.8333333333333E-13
2;4.9333333333333E-13
3;5.0E-13
3;5.0666666666667E-13
3;5.1666666666667E-13
3;5.2333333333333E-13
3;5.3E-13
3;5.3666666666667E-13
3;5.4666666666667E-13
3;5.5333333333333E-13
3;5.6333333333333E-13
3;5.7333333333333E-13
3;5.8333333333333E-13
3;5.9333333333333E-13
3;6.0E-13
3;6.0666666666667E-13
3;6.1666666666667E-13
3;6.2333333333333E-13
3;6.3E-13
3;6.3666666666667E-13
3;6.4666666666667E-13
3;6.5333333333333E-13
3;6.6E-13
3;6.7E-13
3;6.7666666666667E-13
3;6.8333333333333E-13
3;6.9E-13
3;6.9666666666667E-13
3;7.0666666666667E-13
3;7.1333333333333E-13
3;7.2E-13
3;7.2666666666667E-13
4;7.3666666666667E-13
4;7.4333333333333E-13
4;7.5E-13
4;7.6E-13
4;7.6666666666667E-13
4;7.7333333333333E-13
4;7.8333333333333E-13
4;7.9E-13
4;7.9666666666667E-13
4;8.0333333333333E-13
4;8.1E-13
4;8.2E-13
4;8.2666666666667E-13
4;8.3333333333333E-13
4;8.4E-13
4;8.5E-13
4;8.5666666666667E-13
4;8.6333333333333E-13
4;8.7E-13
4;8.7666666666667E-13
