r;inserts(s)
1;0,0000000166
2;0,0000000121
3;0,0000000118
4;0,0000000120
5;0,0000000119
6;0,0000000118
7;0,0000000118
8;0,0000000118
9;0,0000000118
10;0,0000000118
11;0,0000000118
12;0,0000000134
13;0,0000000118
14;0,0000000119
15;0,0000000118
16;0,0000000119
17;0,0000000118
18;0,0000000118
19;0,0000000118
20;0,0000000118
21;0,0000000119
22;0,0000000118
23;0,0000000118
24;0,0000000118
25;0,0000000118
26;0,0000000118
27;0,0000000118
28;0,0000000118
29;0,0000000118
30;0,0000000118
31;0,0000000118
32;0,0000000118
33;0,0000000118
34;0,0000000118
35;0,0000000118
36;0,0000000119
37;0,0000000119
38;0,0000000118
39;0,0000000119
40;0,0000000118
41;0,0000000119
42;0,0000000118
43;0,0000000118
44;0,0000000118
45;0,0000000118
46;0,0000000129
47;0,0000000111
48;0,0000000111
49;0,0000000111
50;0,0000000111
51;0,0000000111
52;0,0000000111
53;0,0000000111
54;0,0000000113
55;0,0000000111
56;0,0000000111
57;0,0000000111
58;0,0000000111
59;0,0000000112
60;0,0000000111
61;0,0000000111
62;0,0000000111
63;0,0000000112
64;0,0000000111
65;0,0000000111
66;0,0000000111
67;0,0000000111
68;0,0000000111
69;0,0000000111
70;0,0000000111
71;0,0000000111
72;0,0000000112
73;0,0000000111
74;0,0000000112
75;0,0000000111
76;0,0000000111
77;0,0000000111
78;0,0000000111
79;0,0000000111
80;0,0000000111
81;0,0000000112
82;0,0000000112
83;0,0000000111
84;0,0000000111
85;0,0000000111
86;0,0000000111
87;0,0000000111
88;0,0000000111
89;0,0000000111
90;0,0000000112
91;0,0000000111
92;0,0000000111
93;0,0000000111
94;0,0000000111
95;0,0000000111
96;0,0000000111
97;0,0000000111
98;0,0000000111
99;0,0000000111
100;0,0000000111
r;updates(s)
1;0,0000000114
2;0,0000000114
3;0,0000000113
4;0,0000000114
5;0,0000000114
6;0,0000000113
7;0,0000000144
8;0,0000000139
9;0,0000000139
10;0,0000000139
11;0,0000000139
12;0,0000000139
13;0,0000000139
14;0,0000000135
15;0,0000000111
16;0,0000000112
17;0,0000000111
18;0,0000000111
19;0,0000000111
20;0,0000000111
21;0,0000000111
22;0,0000000112
23;0,0000000111
24;0,0000000111
25;0,0000000111
26;0,0000000112
27;0,0000000111
28;0,0000000111
29;0,0000000111
30;0,0000000112
31;0,0000000112
32;0,0000000111
33;0,0000000111
34;0,0000000111
35;0,0000000111
36;0,0000000111
37;0,0000000111
38;0,0000000111
39;0,0000000111
40;0,0000000124
41;0,0000000111
42;0,0000000111
43;0,0000000111
44;0,0000000111
45;0,0000000112
46;0,0000000111
47;0,0000000111
48;0,0000000111
49;0,0000000128
50;0,0000000139
51;0,0000000139
52;0,0000000139
53;0,0000000139
54;0,0000000139
55;0,0000000139
56;0,0000000140
57;0,0000000118
58;0,0000000111
59;0,0000000111
60;0,0000000112
61;0,0000000111
62;0,0000000111
63;0,0000000111
64;0,0000000111
65;0,0000000112
66;0,0000000111
67;0,0000000111
68;0,0000000112
69;0,0000000111
70;0,0000000111
71;0,0000000111
72;0,0000000111
73;0,0000000111
74;0,0000000112
75;0,0000000111
76;0,0000000111
77;0,0000000111
78;0,0000000111
79;0,0000000111
80;0,0000000111
81;0,0000000111
82;0,0000000112
83;0,0000000112
84;0,0000000111
85;0,0000000111
86;0,0000000111
87;0,0000000111
88;0,0000000112
89;0,0000000111
90;0,0000000111
91;0,0000000111
92;0,0000000111
93;0,0000000112
94;0,0000000111
95;0,0000000111
96;0,0000000111
97;0,0000000111
98;0,0000000111
99;0,0000000111
100;0,0000000112
r;selects(s)
1;0,0000000113
2;0,0000000113
3;0,0000000113
4;0,0000000113
5;0,0000000113
6;0,0000000114
7;0,0000000113
8;0,0000000115
9;0,0000000113
10;0,0000000113
11;0,0000000113
12;0,0000000113
13;0,0000000114
14;0,0000000114
15;0,0000000113
16;0,0000000113
17;0,0000000129
18;0,0000000140
19;0,0000000139
20;0,0000000139
21;0,0000000138
22;0,0000000139
23;0,0000000139
24;0,0000000140
25;0,0000000121
26;0,0000000111
27;0,0000000111
28;0,0000000111
29;0,0000000111
30;0,0000000111
31;0,0000000111
32;0,0000000111
33;0,0000000112
34;0,0000000111
35;0,0000000111
36;0,0000000111
37;0,0000000111
38;0,0000000111
39;0,0000000111
40;0,0000000111
41;0,0000000111
42;0,0000000112
43;0,0000000130
44;0,0000000173
45;0,0000000175
46;0,0000000172
47;0,0000000184
48;0,0000000145
49;0,0000000116
50;0,0000000111
51;0,0000000112
52;0,0000000111
53;0,0000000112
54;0,0000000111
55;0,0000000111
56;0,0000000112
57;0,0000000111
58;0,0000000111
59;0,0000000111
60;0,0000000112
61;0,0000000111
62;0,0000000111
63;0,0000000111
64;0,0000000111
65;0,0000000114
66;0,0000000111
67;0,0000000123
68;0,0000000139
69;0,0000000115
70;0,0000000111
71;0,0000000112
72;0,0000000111
73;0,0000000111
74;0,0000000112
75;0,0000000111
76;0,0000000111
77;0,0000000111
78;0,0000000112
79;0,0000000111
80;0,0000000111
81;0,0000000111
82;0,0000000112
83;0,0000000111
84;0,0000000111
85;0,0000000111
86;0,0000000111
87;0,0000000111
88;0,0000000111
89;0,0000000111
90;0,0000000111
91;0,0000000112
92;0,0000000111
93;0,0000000111
94;0,0000000111
95;0,0000000111
96;0,0000000111
97;0,0000000111
98;0,0000000111
99;0,0000000111
100;0,0000000111
